0:0:0:0:0:0:0:1 - - [29/Jul/2016:10:28:00 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [29/Jul/2016:10:28:00 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:10:28:00 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:10:28:45 +0900] "GET /LearnJapanese/css/picture/audio.mp3 HTTP/1.1" 206 3223552
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:16:19 +0900] "GET /LearnJapanese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:16:19 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:16:19 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:16:22 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:16:22 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:16:22 +0900] "GET /LearnJapanese/css/picture/audio2.mp3 HTTP/1.1" 206 407255
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:18:27 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:18:27 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:18:27 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:18:27 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:18:27 +0900] "GET /LearnJapanese/css/picture/audio2.mp3 HTTP/1.1" 206 407255
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:27:15 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:27:15 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:27:15 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:27:15 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:27:15 +0900] "GET /LearnJapanese/css/picture/audio2.mp3 HTTP/1.1" 206 407255
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:29:37 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:29:37 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:29:37 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:29:37 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:29:37 +0900] "GET /LearnJapanese/css/picture/audio2.mp3 HTTP/1.1" 206 407255
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:30:20 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:30:20 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:30:20 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:30:20 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:30:20 +0900] "GET /LearnJapanese/css/picture/audio2.mp3 HTTP/1.1" 206 407255
