127.0.0.1 - - [26/Jul/2016:09:32:36 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:41 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:42 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:58 +0900] "GET /LearnJapanese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:58 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:59 +0900] "GET /LearnJapanese/css/Menu.css HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:59 +0900] "GET /LearnJapanese/js/Menu.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:59 +0900] "GET /LearnJapanese/css/picture/kanji.jpg HTTP/1.1" 200 124735
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:59 +0900] "GET /LearnJapanese/css/picture/menupicture.jpg HTTP/1.1" 200 247638
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:32:59 +0900] "GET /LearnJapanese/css/picture/choukai.jpg HTTP/1.1" 200 205021
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:00 +0900] "GET /LearnJapanese/css/picture/kotoba.jpg HTTP/1.1" 200 578383
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:00 +0900] "GET /LearnJapanese/css/picture/bunpo.jpg HTTP/1.1" 200 484209
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:00 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:00 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:12 +0900] "GET /LearnJapanese/Kanji.jsp HTTP/1.1" 200 4947
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:12 +0900] "GET /LearnJapanese/css/Kanji.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:12 +0900] "GET /LearnJapanese/js/Kanji.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:12 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 20421
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:24 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:26 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:27 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:28 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 7243
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:29 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 8830
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:31 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 8031
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:35 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:37 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 7249
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:39 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:41 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:42 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 4948
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:33:43 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:23 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 11152
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:26 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 10379
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:30 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:34 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:37 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:39 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:41 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:42 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:43 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 4948
0:0:0:0:0:0:0:1 - - [26/Jul/2016:09:35:44 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 4948
