127.0.0.1 - - [12/Jul/2016:09:42:16 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:42:24 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:42:24 +0900] "GET /LearnJapanese/js/Home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:42:24 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:42:56 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:42:57 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:42:57 +0900] "GET /LearnJapanese/js/Home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:43:00 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:43:05 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:45:19 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:45:19 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:45:19 +0900] "GET /LearnJapanese/js/Home.js HTTP/1.1" 200 7683
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:45:19 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:28 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:34 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:34 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:52 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:52 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:52 +0900] "GET /LearnJapanese/js/Home.js HTTP/1.1" 200 7683
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:47:52 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:48:08 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:50:05 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:50:05 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:50:05 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:50:05 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:50:16 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:51:05 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:51:05 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:51:14 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:52:06 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:52:06 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:52:23 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:52:58 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:52:58 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:52:58 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:53:02 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:53:37 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:53:37 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:53:44 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:11 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:12 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:20 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:48 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:48 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:59 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 2055
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:59 +0900] "GET /LearnJapanese/css/AddUpdate.css HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:54:59 +0900] "GET /LearnJapanese/js/AddUpdate.js HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:00 +0900] "POST /LearnJapanese/AddUpdateController HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:00 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:00 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:08 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:09 +0900] "POST /LearnJapanese/AddUpdateController HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:09 +0900] "GET /LearnJapanese/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:09:55:09 +0900] "POST /LearnJapanese/HomeController HTTP/1.1" 200 14884
